seq,ship_code,ship_id,voyage_no,start_port,dest_port,passage_plan_create_dt,origin_latitude,origin_longitude,latitude,longitude,course,distance,sub_ttl,dtg,total_distance,safety_speed,depth,squat,ukc,eta,type,file_name,create_dt
176672,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,34-44.50 N,127-49.57 E,34.7472222,127.8325,0,0,0,2517,2533.2,14,20,1.12,8.8,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176673,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,34-43.04 N,127-49.98 E,34.7177778,127.8438889,166.9,1.5,1.5,2515.5,2533.2,16,22.5,1.47,10.9,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176674,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,34-40.42 N,127-55.08 E,34.6783333,127.9188889,121.9,5,6.5,2510.5,2533.2,16,16.9,1.47,5.3,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176675,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,34-35.71 N,127-56.00 E,34.6030556,127.9333333,170.8,4.8,11.3,2505.7,2533.2,16,22.5,1.47,10.9,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176676,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,34-09.49 N,127-56.00 E,34.1636111,127.9333333,180,26.2,37.5,2479.5,2533.2,16,23.5,1.47,11.9,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176677,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,32-06.68 N,126-52.82 E,32.1188889,126.8894444,203.4,133.8,171.3,2345.7,2533.2,16,50,1.47,38.4,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176678,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,28-54.73 N,125-06.13 E,28.9202778,125.1036111,205.7,213,384.3,2132.7,2533.2,16,50,1.47,38.4,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176679,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,25-45.00 N,121-26.34 E,25.75,121.4427778,226,273,657.3,1859.7,2533.2,16,50,1.47,38.4,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176680,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,24-08.56 N,119-09.73 E,24.1488889,119.1702778,232.2,157.5,814.8,1702.2,2533.2,16,45,1.47,33.4,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176681,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,23-04.70 N,117-32.75 E,23.0861111,117.5541667,234.4,109.8,924.6,1592.4,2533.2,16,17,1.47,5.4,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176682,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,21-48.24 N,115-54.94 E,21.8066667,115.9261111,229.9,118.8,1043.4,1473.6,2533.2,16,32,1.47,20.4,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176683,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,21-13.42 N,115-43.18 E,21.2283333,115.7216667,197.5,36.5,1079.9,1437.1,2533.2,16,50,1.47,38.2,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176684,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,17-17.12 N,111-11.15 E,17.2866667,111.1875,227.5,350.1,1430,1087,2533.2,16,50,1.47,38.2,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176685,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,10-53.54 N,110-05.12 E,10.8983333,110.0866667,189.5,389,1819,698,2533.2,16,50,1.47,38.2,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176686,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,09-23.88 N,109-33.11 E,9.4077778,109.5530556,199.5,95.1,1914.1,602.9,2533.2,16,50,1.47,38.2,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176687,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,04-42.90 N,106-26.20 E,4.725,106.4388889,213.6,337.3,2251.4,265.6,2533.2,16,33,1.47,21.3,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176688,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,03-04.60 N,105-18.40 E,3.0833333,105.3111111,214.7,119.6,2371,146,2533.2,16,50,1.47,38.2,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176689,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,03-04.67 N,105-18.43 E,3.0852778,105.3119444,23.3,0.1,2371.1,145.9,2533.2,16,38,1.47,26.2,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176690,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,01-33.00 N,104-36.00 E,1.55,104.6,205,101.1,2472.2,44.8,2533.2,16,21.5,1.47,9.7,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176691,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,01-24.89 N,104-26.56 E,1.4247222,104.4488889,229.5,12.5,2484.7,32.3,2533.2,16,34,1.47,22.2,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176692,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,01-21.76 N,104-22.82 E,1.3711111,104.3894444,230.3,4.9,2489.6,27.4,2533.2,16,29.4,1.47,17.6,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176693,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,01-18.76 N,104-19.62 E,1.3211111,104.3338889,227,4.4,2494,23,2533.2,16,25,1.47,13.2,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176694,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,01-15.48 N,103-59.38 E,1.2633333,103.9938889,260.9,20.6,2514.6,2.4,2533.2,14,38,1.12,26.5,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176695,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,01-15.88 N,103-57.85 E,1.2744444,103.9736111,284.6,1.6,2516.2,0.8,2533.2,10,35,0.57,24.1,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176695,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,01-15.88 N,103-57.85 E,1.2311111,103.8961111,284.6,1.6,2516.2,0.8,2533.2,10,35,0.57,24.1,2.02E+11,RWP,HGCD19120141.VO6,2019-12-10 21:08
176696,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,01-15.88 N,103-57.85 E,1.2744444,103.9736111,0,0,0,0.8,2533.2,10,35,0.57,28.1,2.02E+11,PTB,HGCD19120141.VO6,2019-12-10 21:08
176697,HGCD,GLOVIS CONDOR,0042W,KRKAN,SGSIN,20191204,01-16.39 N,103-57.29 E,1.2775,103.9580556,312.1,0.8,0.8,0,2533.2,5,36,0.14,29.1,2.02E+11,PTB,HGCD19120141.VO6,2019-12-10 21:08
166478,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,34-53.56 N,127-39.59 E,34.8988889,127.6663889,0,0,0,2475.2,2475.2,3,16,0.1,6,2.02E+11,BTP,HSVR19110211.VO6,2019-12-09 17:53
166479,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,34-54.43 N,127-40.98 E,34.9119444,127.6938889,52.8,1.4,1.4,2473.8,2475.2,5,15.8,0.28,5.6,2.02E+11,BTP,HSVR19110211.VO6,2019-12-09 17:53
166480,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,34-54.60 N,127-42.00 E,34.9166667,127.7,78.6,0.9,2.3,2472.9,2475.2,10,15.5,1.11,4.4,2.02E+11,BTP,HSVR19110211.VO6,2019-12-09 17:53
166481,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,34-53.97 N,127-44.98 E,34.9102778,127.7605556,104.4,2.5,4.8,2470.4,2475.2,12,23,1.6,11.5,2.02E+11,BTP,HSVR19110211.VO6,2019-12-09 17:53
166482,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,34-53.30 N,127-45.20 E,34.8916667,127.7555556,164.9,0.7,5.5,2469.7,2475.2,12,26,1.6,14.5,2.02E+11,BTP,HSVR19110211.VO6,2019-12-09 17:53
166483,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,34-52.70 N,127-45.45 E,34.8861111,127.7625,161.1,0.6,6.1,2469.1,2475.2,12,21,1.6,9.5,2.02E+11,BTP,HSVR19110211.VO6,2019-12-09 17:53
166484,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,34-51.40 N,127-47.30 E,34.8611111,127.7916667,130.5,2,8.1,2467.1,2475.2,14,29,2.18,16.9,2.02E+11,BTP,HSVR19110211.VO6,2019-12-09 17:53
166485,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,34-44.30 N,127-49.20 E,34.7416667,127.8222222,167.6,7.3,15.4,2459.8,2475.2,10,22,1.11,11,2.02E+11,BTP,HSVR19110211.VO6,2019-12-09 17:53
166486,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,34-44.30 N,127-49.20 E,34.7472222,127.8325,0,0,0,2459.8,2475.2,10,22,1.11,11,2.02E+11,RWP,HSVR19110211.VO6,2019-12-09 17:53
166487,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,34-42.99 N,127-50.11 E,34.7275,127.8363889,150.2,1.5,1.5,2458.3,2475.2,14,24,2.18,11.9,2.02E+11,RWP,HSVR19110211.VO6,2019-12-09 17:53
166488,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,34-40.33 N,127-55.07 E,34.6758333,127.9186111,123,4.9,6.4,2453.4,2475.2,14,23,2.18,10.9,2.02E+11,RWP,HSVR19110211.VO6,2019-12-09 17:53
166489,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,34-34.95 N,127-56.13 E,34.5930556,127.9369444,170.7,5.5,11.9,2447.9,2475.2,14,24,2.18,11.9,2.02E+11,RWP,HSVR19110211.VO6,2019-12-09 17:53
166490,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,34-10.73 N,127-56.13 E,34.1869444,127.9369444,180,24.2,36.1,2423.7,2475.2,14,74,2.18,61.9,2.02E+11,RWP,HSVR19110211.VO6,2019-12-09 17:53
166491,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,33-26.79 N,127-16.91 E,33.4552778,127.2919444,216.7,54.8,90.9,2368.9,2475.2,14,121,2.18,109,2.02E+11,RWP,HSVR19110211.VO6,2019-12-09 17:53
166492,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,23-59.68 N,119-51.84 E,24.0022222,119.8733333,214.6,689.2,780.1,1679.7,2475.2,14,38,2.18,26,2.02E+11,RWP,HSVR19110211.VO6,2019-12-09 17:53
166493,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,23-13.45 N,119-51.82 E,23.2291667,119.8727778,180,46.2,826.3,1633.5,2475.2,14,145,2.18,133,2.02E+11,RWP,HSVR19110211.VO6,2019-12-09 17:53
166494,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,16-31.50 N,113-55.77 E,16.5305556,113.9380556,219.9,524.3,1350.6,1109.2,2475.2,14,2506,2.18,2494,2.02E+11,RWP,HSVR19110211.VO6,2019-12-09 17:53
166495,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,03-13.40 N,105-23.04 E,3.2277778,105.3844444,212.4,945.6,2296.2,163.6,2475.2,14,33,2.18,21,2.02E+11,RWP,HSVR19110211.VO6,2019-12-09 17:53
166496,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,02-46.04 N,105-08.32 E,2.7677778,105.1422222,208.4,31.1,2327.3,132.5,2475.2,14,59,2.18,47,2.02E+11,RWP,HSVR19110211.VO6,2019-12-09 17:53
166497,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,01-31.68 N,104-33.77 E,1.5355556,104.5713889,205.1,82.1,2409.4,50.4,2475.2,14,21,2.18,9,2.02E+11,RWP,HSVR19110211.VO6,2019-12-09 17:53
166498,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,01-19.05 N,104-19.86 E,1.3180556,104.3405556,227.9,18.9,2428.3,31.5,2475.2,14,27,2.18,15,2.02E+11,RWP,HSVR19110211.VO6,2019-12-09 17:53
166499,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,01-15.59 N,104-00.00 E,1.2663889,104,260.2,20.3,2448.6,11.2,2475.2,14,41,2.18,29,2.02E+11,RWP,HSVR19110211.VO6,2019-12-09 17:53
166500,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,01-13.12 N,103-53.67 E,1.22,103.9019444,248.8,6.8,2455.4,4.4,2475.2,14,72,2.18,60,2.02E+11,RWP,HSVR19110211.VO6,2019-12-09 17:53
166501,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,01-13.52 N,103-53.46 E,1.2311111,103.8961111,332.1,0.5,2455.9,3.9,2475.2,10,70,1.11,59,2.02E+11,RWP,HSVR19110211.VO6,2019-12-09 17:53
166502,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,01-13.52 N,103-53.46 E,1.2311111,103.8961111,0,0,0,3.9,2475.2,10,70,1.11,59,2.02E+11,PTB,HSVR19110211.VO6,2019-12-09 17:53
166503,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,01-13.90 N,103-52.00 E,1.2416667,103.8666667,284.5,1.5,1.5,2.4,2475.2,8,16,0.71,5.3,2.02E+11,PTB,HSVR19110211.VO6,2019-12-09 17:53
166504,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,01-15.54 N,103-51.10 E,1.265,103.8527778,331.1,1.9,3.4,0.5,2475.2,5,27,0.28,16.8,2.02E+11,PTB,HSVR19110211.VO6,2019-12-09 17:53
166505,HSVR,GLOVIS SILVER RAY,0015W,KRKAN,SGSIN,20191107,01-15.90 N,103-50.78 E,1.275,103.855,318.2,0.5,3.9,0,2475.2,3,12,0.1,2,2.02E+11,PTB,HSVR19110211.VO6,2019-12-09 17:53
